interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,wind_forecast
2026-02-17 00:00:00-05:00,2026-02-17 05:00:00+00:00,2026-02-17 01:00:00-05:00,2026-02-17 06:00:00+00:00,2026-02-16 19:00:00-05:00,2026-02-17 00:00:00+00:00,6117.093
2026-02-17 01:00:00-05:00,2026-02-17 06:00:00+00:00,2026-02-17 02:00:00-05:00,2026-02-17 07:00:00+00:00,2026-02-16 20:00:00-05:00,2026-02-17 01:00:00+00:00,5792.992
2026-02-17 02:00:00-05:00,2026-02-17 07:00:00+00:00,2026-02-17 03:00:00-05:00,2026-02-17 08:00:00+00:00,2026-02-16 21:00:00-05:00,2026-02-17 02:00:00+00:00,5420.391
2026-02-17 03:00:00-05:00,2026-02-17 08:00:00+00:00,2026-02-17 04:00:00-05:00,2026-02-17 09:00:00+00:00,2026-02-16 22:00:00-05:00,2026-02-17 03:00:00+00:00,5041.463
2026-02-17 04:00:00-05:00,2026-02-17 09:00:00+00:00,2026-02-17 05:00:00-05:00,2026-02-17 10:00:00+00:00,2026-02-16 23:00:00-05:00,2026-02-17 04:00:00+00:00,4687.279
2026-02-17 05:00:00-05:00,2026-02-17 10:00:00+00:00,2026-02-17 06:00:00-05:00,2026-02-17 11:00:00+00:00,2026-02-17 00:00:00-05:00,2026-02-17 05:00:00+00:00,4545.049
2026-02-17 06:00:00-05:00,2026-02-17 11:00:00+00:00,2026-02-17 07:00:00-05:00,2026-02-17 12:00:00+00:00,2026-02-17 01:00:00-05:00,2026-02-17 06:00:00+00:00,4289.629
2026-02-17 07:00:00-05:00,2026-02-17 12:00:00+00:00,2026-02-17 08:00:00-05:00,2026-02-17 13:00:00+00:00,2026-02-17 02:00:00-05:00,2026-02-17 07:00:00+00:00,4043.617
2026-02-17 08:00:00-05:00,2026-02-17 13:00:00+00:00,2026-02-17 09:00:00-05:00,2026-02-17 14:00:00+00:00,2026-02-17 03:00:00-05:00,2026-02-17 08:00:00+00:00,3591.526
2026-02-17 09:00:00-05:00,2026-02-17 14:00:00+00:00,2026-02-17 10:00:00-05:00,2026-02-17 15:00:00+00:00,2026-02-17 04:00:00-05:00,2026-02-17 09:00:00+00:00,2786.129
2026-02-17 10:00:00-05:00,2026-02-17 15:00:00+00:00,2026-02-17 11:00:00-05:00,2026-02-17 16:00:00+00:00,2026-02-17 05:00:00-05:00,2026-02-17 10:00:00+00:00,2155.816
2026-02-17 11:00:00-05:00,2026-02-17 16:00:00+00:00,2026-02-17 12:00:00-05:00,2026-02-17 17:00:00+00:00,2026-02-17 06:00:00-05:00,2026-02-17 11:00:00+00:00,2119.985
2026-02-17 12:00:00-05:00,2026-02-17 17:00:00+00:00,2026-02-17 13:00:00-05:00,2026-02-17 18:00:00+00:00,2026-02-17 07:00:00-05:00,2026-02-17 12:00:00+00:00,2543.055
2026-02-17 13:00:00-05:00,2026-02-17 18:00:00+00:00,2026-02-17 14:00:00-05:00,2026-02-17 19:00:00+00:00,2026-02-17 08:00:00-05:00,2026-02-17 13:00:00+00:00,3339.745
2026-02-17 14:00:00-05:00,2026-02-17 19:00:00+00:00,2026-02-17 15:00:00-05:00,2026-02-17 20:00:00+00:00,2026-02-17 09:00:00-05:00,2026-02-17 14:00:00+00:00,4357.341
2026-02-17 15:00:00-05:00,2026-02-17 20:00:00+00:00,2026-02-17 16:00:00-05:00,2026-02-17 21:00:00+00:00,2026-02-17 10:00:00-05:00,2026-02-17 15:00:00+00:00,5305.788
2026-02-17 16:00:00-05:00,2026-02-17 21:00:00+00:00,2026-02-17 17:00:00-05:00,2026-02-17 22:00:00+00:00,2026-02-17 11:10:00-05:00,2026-02-17 16:10:00+00:00,5330.94
2026-02-17 17:00:00-05:00,2026-02-17 22:00:00+00:00,2026-02-17 18:00:00-05:00,2026-02-17 23:00:00+00:00,2026-02-17 12:00:00-05:00,2026-02-17 17:00:00+00:00,6817.54
2026-02-17 18:00:00-05:00,2026-02-17 23:00:00+00:00,2026-02-17 19:00:00-05:00,2026-02-18 00:00:00+00:00,2026-02-17 13:00:00-05:00,2026-02-17 18:00:00+00:00,7174.077
2026-02-17 19:00:00-05:00,2026-02-18 00:00:00+00:00,2026-02-17 20:00:00-05:00,2026-02-18 01:00:00+00:00,2026-02-17 14:00:00-05:00,2026-02-17 19:00:00+00:00,7462.629
2026-02-17 20:00:00-05:00,2026-02-18 01:00:00+00:00,2026-02-17 21:00:00-05:00,2026-02-18 02:00:00+00:00,2026-02-17 15:00:00-05:00,2026-02-17 20:00:00+00:00,7716.662
2026-02-17 21:00:00-05:00,2026-02-18 02:00:00+00:00,2026-02-17 22:00:00-05:00,2026-02-18 03:00:00+00:00,2026-02-17 16:00:00-05:00,2026-02-17 21:00:00+00:00,7884.876
2026-02-17 22:00:00-05:00,2026-02-18 03:00:00+00:00,2026-02-17 23:00:00-05:00,2026-02-18 04:00:00+00:00,2026-02-17 17:00:00-05:00,2026-02-17 22:00:00+00:00,7889.762
2026-02-17 23:00:00-05:00,2026-02-18 04:00:00+00:00,2026-02-18 00:00:00-05:00,2026-02-18 05:00:00+00:00,2026-02-17 18:00:00-05:00,2026-02-17 23:00:00+00:00,7702.535
2026-02-18 00:00:00-05:00,2026-02-18 05:00:00+00:00,2026-02-18 01:00:00-05:00,2026-02-18 06:00:00+00:00,2026-02-17 19:00:00-05:00,2026-02-18 00:00:00+00:00,7807.698
2026-02-18 01:00:00-05:00,2026-02-18 06:00:00+00:00,2026-02-18 02:00:00-05:00,2026-02-18 07:00:00+00:00,2026-02-17 20:00:00-05:00,2026-02-18 01:00:00+00:00,7938.832
2026-02-18 02:00:00-05:00,2026-02-18 07:00:00+00:00,2026-02-18 03:00:00-05:00,2026-02-18 08:00:00+00:00,2026-02-17 21:00:00-05:00,2026-02-18 02:00:00+00:00,8060.701
2026-02-18 03:00:00-05:00,2026-02-18 08:00:00+00:00,2026-02-18 04:00:00-05:00,2026-02-18 09:00:00+00:00,2026-02-17 22:00:00-05:00,2026-02-18 03:00:00+00:00,8094.362
2026-02-18 04:00:00-05:00,2026-02-18 09:00:00+00:00,2026-02-18 05:00:00-05:00,2026-02-18 10:00:00+00:00,2026-02-17 23:00:00-05:00,2026-02-18 04:00:00+00:00,8104.274
2026-02-18 05:00:00-05:00,2026-02-18 10:00:00+00:00,2026-02-18 06:00:00-05:00,2026-02-18 11:00:00+00:00,2026-02-18 00:00:00-05:00,2026-02-18 05:00:00+00:00,8236.385
2026-02-18 06:00:00-05:00,2026-02-18 11:00:00+00:00,2026-02-18 07:00:00-05:00,2026-02-18 12:00:00+00:00,2026-02-18 01:00:00-05:00,2026-02-18 06:00:00+00:00,8392.051
2026-02-18 07:00:00-05:00,2026-02-18 12:00:00+00:00,2026-02-18 08:00:00-05:00,2026-02-18 13:00:00+00:00,2026-02-18 02:00:00-05:00,2026-02-18 07:00:00+00:00,8475.842
2026-02-18 08:00:00-05:00,2026-02-18 13:00:00+00:00,2026-02-18 09:00:00-05:00,2026-02-18 14:00:00+00:00,2026-02-18 03:00:00-05:00,2026-02-18 08:00:00+00:00,8283.5
2026-02-18 09:00:00-05:00,2026-02-18 14:00:00+00:00,2026-02-18 10:00:00-05:00,2026-02-18 15:00:00+00:00,2026-02-18 04:00:00-05:00,2026-02-18 09:00:00+00:00,8173.192
2026-02-18 10:00:00-05:00,2026-02-18 15:00:00+00:00,2026-02-18 11:00:00-05:00,2026-02-18 16:00:00+00:00,2026-02-18 05:00:00-05:00,2026-02-18 10:00:00+00:00,8281.791
2026-02-18 11:00:00-05:00,2026-02-18 16:00:00+00:00,2026-02-18 12:00:00-05:00,2026-02-18 17:00:00+00:00,2026-02-18 06:00:00-05:00,2026-02-18 11:00:00+00:00,8456.827
2026-02-18 12:00:00-05:00,2026-02-18 17:00:00+00:00,2026-02-18 13:00:00-05:00,2026-02-18 18:00:00+00:00,2026-02-18 07:00:00-05:00,2026-02-18 12:00:00+00:00,8741.469
2026-02-18 13:00:00-05:00,2026-02-18 18:00:00+00:00,2026-02-18 14:00:00-05:00,2026-02-18 19:00:00+00:00,2026-02-18 08:00:00-05:00,2026-02-18 13:00:00+00:00,8797.01
2026-02-18 14:00:00-05:00,2026-02-18 19:00:00+00:00,2026-02-18 15:00:00-05:00,2026-02-18 20:00:00+00:00,2026-02-18 09:00:00-05:00,2026-02-18 14:00:00+00:00,8662.13
2026-02-18 15:00:00-05:00,2026-02-18 20:00:00+00:00,2026-02-18 16:00:00-05:00,2026-02-18 21:00:00+00:00,2026-02-18 10:00:00-05:00,2026-02-18 15:00:00+00:00,8328.49
2026-02-18 16:00:00-05:00,2026-02-18 21:00:00+00:00,2026-02-18 17:00:00-05:00,2026-02-18 22:00:00+00:00,2026-02-18 11:00:00-05:00,2026-02-18 16:00:00+00:00,7719.447
2026-02-18 17:00:00-05:00,2026-02-18 22:00:00+00:00,2026-02-18 18:00:00-05:00,2026-02-18 23:00:00+00:00,2026-02-18 12:00:00-05:00,2026-02-18 17:00:00+00:00,6984.033
2026-02-18 18:00:00-05:00,2026-02-18 23:00:00+00:00,2026-02-18 19:00:00-05:00,2026-02-19 00:00:00+00:00,2026-02-18 13:00:00-05:00,2026-02-18 18:00:00+00:00,5990.323
2026-02-18 19:00:00-05:00,2026-02-19 00:00:00+00:00,2026-02-18 20:00:00-05:00,2026-02-19 01:00:00+00:00,2026-02-18 14:00:00-05:00,2026-02-18 19:00:00+00:00,5334.4
2026-02-18 20:00:00-05:00,2026-02-19 01:00:00+00:00,2026-02-18 21:00:00-05:00,2026-02-19 02:00:00+00:00,2026-02-18 15:00:00-05:00,2026-02-18 20:00:00+00:00,4548.268
2026-02-18 21:00:00-05:00,2026-02-19 02:00:00+00:00,2026-02-18 22:00:00-05:00,2026-02-19 03:00:00+00:00,2026-02-18 16:00:00-05:00,2026-02-18 21:00:00+00:00,3822.686
2026-02-18 22:00:00-05:00,2026-02-19 03:00:00+00:00,2026-02-18 23:00:00-05:00,2026-02-19 04:00:00+00:00,2026-02-18 17:00:00-05:00,2026-02-18 22:00:00+00:00,3002.456
2026-02-18 23:00:00-05:00,2026-02-19 04:00:00+00:00,2026-02-19 00:00:00-05:00,2026-02-19 05:00:00+00:00,2026-02-18 18:00:00-05:00,2026-02-18 23:00:00+00:00,2309.763
2026-02-19 00:00:00-05:00,2026-02-19 05:00:00+00:00,2026-02-19 01:00:00-05:00,2026-02-19 06:00:00+00:00,2026-02-18 19:00:00-05:00,2026-02-19 00:00:00+00:00,2160.007
