interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,wind_forecast
2026-02-25 00:00:00-05:00,2026-02-25 05:00:00+00:00,2026-02-25 01:00:00-05:00,2026-02-25 06:00:00+00:00,2026-02-24 19:00:00-05:00,2026-02-25 00:00:00+00:00,7799.414
2026-02-25 01:00:00-05:00,2026-02-25 06:00:00+00:00,2026-02-25 02:00:00-05:00,2026-02-25 07:00:00+00:00,2026-02-24 20:00:00-05:00,2026-02-25 01:00:00+00:00,7601.411
2026-02-25 02:00:00-05:00,2026-02-25 07:00:00+00:00,2026-02-25 03:00:00-05:00,2026-02-25 08:00:00+00:00,2026-02-24 21:00:00-05:00,2026-02-25 02:00:00+00:00,7563.544
2026-02-25 03:00:00-05:00,2026-02-25 08:00:00+00:00,2026-02-25 04:00:00-05:00,2026-02-25 09:00:00+00:00,2026-02-24 22:00:00-05:00,2026-02-25 03:00:00+00:00,7304.877
2026-02-25 04:00:00-05:00,2026-02-25 09:00:00+00:00,2026-02-25 05:00:00-05:00,2026-02-25 10:00:00+00:00,2026-02-24 23:00:00-05:00,2026-02-25 04:00:00+00:00,6924.177
2026-02-25 05:00:00-05:00,2026-02-25 10:00:00+00:00,2026-02-25 06:00:00-05:00,2026-02-25 11:00:00+00:00,2026-02-25 00:00:00-05:00,2026-02-25 05:00:00+00:00,6492.243
2026-02-25 06:00:00-05:00,2026-02-25 11:00:00+00:00,2026-02-25 07:00:00-05:00,2026-02-25 12:00:00+00:00,2026-02-25 01:00:00-05:00,2026-02-25 06:00:00+00:00,6262.15
2026-02-25 07:00:00-05:00,2026-02-25 12:00:00+00:00,2026-02-25 08:00:00-05:00,2026-02-25 13:00:00+00:00,2026-02-25 02:00:00-05:00,2026-02-25 07:00:00+00:00,6059.86
2026-02-25 08:00:00-05:00,2026-02-25 13:00:00+00:00,2026-02-25 09:00:00-05:00,2026-02-25 14:00:00+00:00,2026-02-25 03:00:00-05:00,2026-02-25 08:00:00+00:00,5818.147
2026-02-25 09:00:00-05:00,2026-02-25 14:00:00+00:00,2026-02-25 10:00:00-05:00,2026-02-25 15:00:00+00:00,2026-02-25 04:00:00-05:00,2026-02-25 09:00:00+00:00,5761.081
2026-02-25 10:00:00-05:00,2026-02-25 15:00:00+00:00,2026-02-25 11:00:00-05:00,2026-02-25 16:00:00+00:00,2026-02-25 05:00:00-05:00,2026-02-25 10:00:00+00:00,5748.19
2026-02-25 11:00:00-05:00,2026-02-25 16:00:00+00:00,2026-02-25 12:00:00-05:00,2026-02-25 17:00:00+00:00,2026-02-25 06:00:00-05:00,2026-02-25 11:00:00+00:00,6101.659
2026-02-25 12:00:00-05:00,2026-02-25 17:00:00+00:00,2026-02-25 13:00:00-05:00,2026-02-25 18:00:00+00:00,2026-02-25 07:00:00-05:00,2026-02-25 12:00:00+00:00,6214.386
2026-02-25 13:00:00-05:00,2026-02-25 18:00:00+00:00,2026-02-25 14:00:00-05:00,2026-02-25 19:00:00+00:00,2026-02-25 08:00:00-05:00,2026-02-25 13:00:00+00:00,6235.579
2026-02-25 14:00:00-05:00,2026-02-25 19:00:00+00:00,2026-02-25 15:00:00-05:00,2026-02-25 20:00:00+00:00,2026-02-25 09:00:00-05:00,2026-02-25 14:00:00+00:00,6023.205
2026-02-25 15:00:00-05:00,2026-02-25 20:00:00+00:00,2026-02-25 16:00:00-05:00,2026-02-25 21:00:00+00:00,2026-02-25 10:00:00-05:00,2026-02-25 15:00:00+00:00,5674.423
2026-02-25 16:00:00-05:00,2026-02-25 21:00:00+00:00,2026-02-25 17:00:00-05:00,2026-02-25 22:00:00+00:00,2026-02-25 11:00:00-05:00,2026-02-25 16:00:00+00:00,5009.077
2026-02-25 17:00:00-05:00,2026-02-25 22:00:00+00:00,2026-02-25 18:00:00-05:00,2026-02-25 23:00:00+00:00,2026-02-25 12:00:00-05:00,2026-02-25 17:00:00+00:00,4082.817
2026-02-25 18:00:00-05:00,2026-02-25 23:00:00+00:00,2026-02-25 19:00:00-05:00,2026-02-26 00:00:00+00:00,2026-02-25 13:00:00-05:00,2026-02-25 18:00:00+00:00,3443.216
2026-02-25 19:00:00-05:00,2026-02-26 00:00:00+00:00,2026-02-25 20:00:00-05:00,2026-02-26 01:00:00+00:00,2026-02-25 14:00:00-05:00,2026-02-25 19:00:00+00:00,3161.249
2026-02-25 20:00:00-05:00,2026-02-26 01:00:00+00:00,2026-02-25 21:00:00-05:00,2026-02-26 02:00:00+00:00,2026-02-25 15:00:00-05:00,2026-02-25 20:00:00+00:00,2899.071
2026-02-25 21:00:00-05:00,2026-02-26 02:00:00+00:00,2026-02-25 22:00:00-05:00,2026-02-26 03:00:00+00:00,2026-02-25 16:00:00-05:00,2026-02-25 21:00:00+00:00,2617.086
2026-02-25 22:00:00-05:00,2026-02-26 03:00:00+00:00,2026-02-25 23:00:00-05:00,2026-02-26 04:00:00+00:00,2026-02-25 17:00:00-05:00,2026-02-25 22:00:00+00:00,2425.077
2026-02-25 23:00:00-05:00,2026-02-26 04:00:00+00:00,2026-02-26 00:00:00-05:00,2026-02-26 05:00:00+00:00,2026-02-25 18:00:00-05:00,2026-02-25 23:00:00+00:00,2339.247
2026-02-26 00:00:00-05:00,2026-02-26 05:00:00+00:00,2026-02-26 01:00:00-05:00,2026-02-26 06:00:00+00:00,2026-02-25 19:00:00-05:00,2026-02-26 00:00:00+00:00,2142.686
2026-02-26 01:00:00-05:00,2026-02-26 06:00:00+00:00,2026-02-26 02:00:00-05:00,2026-02-26 07:00:00+00:00,2026-02-25 20:00:00-05:00,2026-02-26 01:00:00+00:00,1955.53
2026-02-26 02:00:00-05:00,2026-02-26 07:00:00+00:00,2026-02-26 03:00:00-05:00,2026-02-26 08:00:00+00:00,2026-02-25 21:00:00-05:00,2026-02-26 02:00:00+00:00,1755.946
2026-02-26 03:00:00-05:00,2026-02-26 08:00:00+00:00,2026-02-26 04:00:00-05:00,2026-02-26 09:00:00+00:00,2026-02-25 22:00:00-05:00,2026-02-26 03:00:00+00:00,1463.338
